StnID,Year,Lat,Lon,Level,Reason,TriggerAnomYear,TriggerAnomValue,TriggerZrob,NextAnomYear,NextAnomValue,NextZrob,Cap,MedianA,MAD_A,ScaleA,AbsMinEffective,QC_Zrob,QC_MinAbsGlobal,QC_StnAbsMult,QC_LevelConfirmK,QC_RobustFallbackAbs,LevelLocalMedian,LevelLocalScale,LevelLocalScore,QC_LevelWindowYears,QC_LevelMinPoints,SourceType
1000522823,2005,36.1253,-101.5724,-102.1994,robust_jump_year_level,2006,30.257459999999995,46.26409584978867,,,,100.0,-0.47549000000000063,0.4480599999999981,0.6642937559999972,10.0,6.0,10.0,10.0,6.0,50.0,-72.83196000000001,0.790818840000011,37.13548351984075,2,3,depth
1000523302,2005,36.0463,-115.3799,-24.32914,cap_jump_year_level,2005,123.15596,6.727086739643521,,,,100.0,-8.884149999999998,13.238989999999998,19.628126573999996,196.28126573999995,6.0,10.0,10.0,6.0,50.0,-67.46443,63.95238095399999,0.6744907594765952,2,3,depth
1000523933,1981,36.0723,-99.93373,-5.705856,spike_pair_year_level,1981,10.597894,37.129866258338886,1982.0,-10.445494,-36.78728171625081,100.0,0.027435000000000542,0.1920199999999994,0.2846888519999991,10.0,6.0,10.0,10.0,6.0,50.0,-16.168115,0.11297412000000007,92.60757242455169,2,3,depth
1000526734,1993,36.1597,-115.2583,-51.19116,spike_pair_year_level,1993,108.55144000000001,33.76355898615148,1994.0,-94.62514000000002,-30.28164524427582,100.0,1.4401500000000027,2.1397500000000065,3.1723933500000094,31.723933500000093,6.0,10.0,10.0,6.0,50.0,-145.8163,18.482536379999985,5.119705329101595,2,3,depth
1000526734,1998,36.1597,-115.2583,-23.79269,cap_jump_year_level,1998,119.34141,37.164767099262654,,,,100.0,1.4401500000000027,2.1397500000000065,3.1723933500000094,31.723933500000093,6.0,10.0,10.0,6.0,50.0,-23.79269,3.6648834180000005,0.0,2,3,depth
1000526734,2000,36.1597,-115.2583,-21.32076,cap_jump_year_level,2001,-111.11784,-35.48046461514606,,,,100.0,1.4401500000000027,2.1397500000000065,3.1723933500000094,31.723933500000093,6.0,10.0,10.0,6.0,50.0,-23.79269,3.6648834180000005,0.6744907594765952,2,3,depth
1000526735,1991,36.16,-115.2597,-32.5755,cap_jump_year_level,1991,130.0993,18.202021999068013,,,,100.0,-0.27430000000001087,4.831100000000021,7.16258886000003,71.6258886000003,6.0,10.0,10.0,6.0,50.0,-153.4058,15.463962779999981,7.813669867097296,2,3,depth
1000526735,1993,36.16,-115.2597,-153.4058,spike_pair_year_level,1993,-112.14349999999999,-15.618542706637989,1994.0,90.53622999999999,12.678450735478851,100.0,-0.27430000000001087,4.831100000000021,7.16258886000003,71.6258886000003,6.0,10.0,10.0,6.0,50.0,-62.86957,44.913988182000004,2.0157691103522137,2,3,depth
1000526735,1994,36.16,-115.2597,-62.86957,spike_pair_year_level,1994,90.53622999999999,12.678450735478851,1995.0,-84.45552999999998,-11.752905499032039,100.0,-0.27430000000001087,4.831100000000021,7.16258886000003,71.6258886000003,6.0,10.0,10.0,6.0,50.0,-147.3251,9.015245820000011,9.36807844026153,2,3,depth
1000526735,2005,36.16,-115.2597,-45.58589,robust_jump_year_level,2005,88.00491,12.325042205479827,,,,100.0,-0.27430000000001087,4.831100000000021,7.16258886000003,71.6258886000003,6.0,10.0,10.0,6.0,50.0,-130.3873,11.505420780000001,7.370561374635791,2,3,depth
1000526735,2007,36.16,-115.2597,-130.3873,robust_jump_year_level,2007,-83.31399000000002,-11.593530163896586,,,,100.0,-0.27430000000001087,4.831100000000021,7.16258886000003,71.6258886000003,6.0,10.0,10.0,6.0,50.0,-47.07331,2.205248892,37.77985800253154,2,3,depth
1000526818,2006,36.1622,-115.2589,-43.08958,spike_pair_year_level,2006,88.52002,17.71362738786378,2007.0,-85.63351999999999,-17.722885662738946,100.0,1.4660000000000082,3.314799999999991,4.914522479999986,49.145224799999866,6.0,10.0,10.0,6.0,50.0,-130.16635,3.2932252500000176,26.441182545894645,2,3,depth
1000526899,1998,36.1662,-99.72512,-60.68568,robust_jump_year_level,1998,-24.384,-18.265652347813656,,,,100.0,0.21335999999999444,0.9083000000000041,1.3466455800000061,13.46645580000006,6.0,10.0,10.0,6.0,50.0,-36.30168,0.18075859199999378,134.89815189532368,2,3,depth
1000527173,1977,35.9591,-115.1805,-110.0176,robust_jump_year_level,1977,-11.542820000000006,-10.297596952166396,,,,100.0,-0.7467599999999948,0.7071399999999954,1.048405763999993,10.48405763999993,6.0,10.0,10.0,6.0,50.0,-98.47478,1.1071463759999922,10.425739766861764,2,3,depth
